,index,splitted
736,Steven Farley (novel),1
737,Louis Pelletier (screenplay),1
738,T.H. White (based on the book by),1
739,Paul Annixter (book),1
740,Tom Flynn (screenplay),1
741,Richard Brehm,1
742,Evan Spiliotopoulos (story),1
743,Klay Hall (story),1
744,Paul Germain (screenplay),1
745,Joe Ansolabehere (screenplay),1
746,Rob Muir (screenplay),1
747,Bob Hilgenberg (screenplay),1
748,J.M. Barrie (characters),1
749,Jeffrey M. Howard (screenplay),1
750,Stephan Pastis (based on the book by),1
751,Stephan Pastis (screenplay by),1
752,Tom McCarthy (screenplay by),1
753,Michael McDowell (adaptation),1
754,Tim Burton (story and characters),1
755,Anna Sandor,1
756,Don Bluth (screenplay),1
757,Hans Christian Andersen (original classic fairytale),1
758,Charlie Peters (screenplay),1
759,Josann McGibbon (story),1
760,Sara Parriott (story),1
761,"Coline Serreau (screenplay ""Trois Hommes Et Un Couffin"")",1
762,Jim Cruickshank (screenplay),1
763,James Orr (screenplay),1
764,"Coline Serreau (screenplay ""Trois Hommes et un Couffin"")",1
765,Eric Tuchman,1
766,Robert Tate Miller,1
767,Jenny Arata (story),1
768,Shari Simpson,1
769,Joel Cohen (screenplay by),1
770,Keith Mitchell,1
771,Danny Bilson (screenplay),1
772,William Dear (story),1
773,Paul De Meo (story),1
774,Danny Bilson (story),1
775,"Dave Stevens (graphic novel ""The Rocketeer"")",1
776,Margery Sharp (suggested by characters created by),1
777,Joe Ranft (story supervisor),1
778,Joe Ranft (animation screenplay by),1
779,Byron Simpson (animation screenplay by),1
780,Karey Kirkpatrick (animation screenplay by),1
781,Jim Cox (animation screenplay by),1
782,Dick Sebast (story),1
783,Fred Lucky (story),1
784,"Margery Sharp (suggested by ""The Rescuers"" and ""Miss Bianca"" by)",1
785,Dan Santat,1
786,"John P. Miller (story ""Baby Weems"" sequence)",1
787,"Dick Huemer (story ""Baby Weems"" sequence)",1
788,"Joe Grant (story ""Baby Weems"" sequence)",1
789,"T. Hee (story ""Reluctant Dragon"" sequence)",1
790,"Erdman Penner (story ""Reluctant Dragon"" sequence)",1
791,Harry Clork (screenplay),1
792,William Cottrell (screenplay),1
793,Larry Clemmons (screenplay),1
794,Al Perkins (screenplay),1
795,Kenneth Grahame (based on the story by),1
796,Stiles White (screenplay),1
797,John Patrick White (screenplay),1
798,Paul De Meo (screenplay),1
799,Allie Dvorin,1
800,Charlie Shahnaian,1
801,David Mickey Evans (based upon characters created by),1
802,Michael Saltzman,1
803,Jim Geoghan (characters),1
804,Danny Kallis (characters),1
805,Herman Groves,1
806,Mary Sweeney,1
807,John Roach,1
808,Ernest Lehman (screenplay),1
809,Russel Crouse (from the stage musical book by),1
810,Howard Lindsay (from the stage musical book by),1
811,George Hurdalek (with the partial use of ideas by),1
812,Charles Tazewell (book),1
813,Sam Simon,1
814,Johnston McCulley (novel),1
815,John Meredyth Lucas (screenplay),1
816,Bob Wehling (screenplay),1
817,Norman Foster (screenplay),1
818,Lillie Hayward (screenplay),1
819,Tianyi Zhang (story),1
820,Robert Short (story),1
821,Steve Rudnick (story),1
822,Leo Benvenuti (story),1
823,Ken Daurio (screenplay),1
824,Cinco Paul (screenplay),1
